Date/Time,Year,Month,Day,Time,Temp (°C),Weather
2016-06-01 01:00,2016,6,1,01:00,15.1,Cloudy
2016-06-01 04:00,2016,6,1,04:00,14.0,Mostly Cloudy
2016-06-01 07:00,2016,6,1,07:00,16.1,Mostly Cloudy
2016-06-01 10:00,2016,6,1,10:00,18.0,Cloudy
2016-06-01 13:00,2016,6,1,13:00,20.8,Cloudy
2016-06-01 14:00,2016,6,1,14:00,18.6,Rain
2016-06-01 15:00,2016,6,1,15:00,16.5,Rain
2016-06-01 16:00,2016,6,1,16:00,16.5,Rain
2016-06-01 19:00,2016,6,1,19:00,15.2,Cloudy
2016-06-01 20:00,2016,6,1,20:00,14.8,Rain
2016-06-01 21:00,2016,6,1,21:00,14.3,Rain
2016-06-01 22:00,2016,6,1,22:00,14.1,Rain
2016-06-01 23:00,2016,6,1,23:00,14.2,Rain
2016-06-02 01:00,2016,6,2,01:00,14.4,Rain
2016-06-02 03:00,2016,6,2,03:00,14.4,Rain
2016-06-02 04:00,2016,6,2,04:00,13.9,Cloudy
2016-06-02 07:00,2016,6,2,07:00,15.2,Cloudy
2016-06-02 10:00,2016,6,2,10:00,17.5,Mainly Clear
2016-06-02 13:00,2016,6,2,13:00,19.0,Cloudy
2016-06-02 16:00,2016,6,2,16:00,18.8,Cloudy
2016-06-02 19:00,2016,6,2,19:00,16.5,Cloudy
2016-06-02 22:00,2016,6,2,22:00,15.6,Cloudy
2016-06-03 01:00,2016,6,3,01:00,15.0,Cloudy
2016-06-03 04:00,2016,6,3,04:00,14.9,Cloudy
2016-06-03 07:00,2016,6,3,07:00,16.2,Mostly Cloudy
2016-06-03 10:00,2016,6,3,10:00,19.3,Mostly Cloudy
2016-06-03 13:00,2016,6,3,13:00,21.3,Mostly Cloudy
2016-06-03 16:00,2016,6,3,16:00,22.0,Mainly Clear
2016-06-03 19:00,2016,6,3,19:00,19.5,Mainly Clear
2016-06-03 22:00,2016,6,3,22:00,16.9,Clear
2016-06-04 01:00,2016,6,4,01:00,16.2,Mainly Clear
2016-06-04 04:00,2016,6,4,04:00,15.6,Mostly Cloudy
2016-06-04 07:00,2016,6,4,07:00,17.6,Mainly Clear
2016-06-04 10:00,2016,6,4,10:00,19.4,Clear
2016-06-04 13:00,2016,6,4,13:00,21.5,Clear
2016-06-04 16:00,2016,6,4,16:00,21.4,Clear
2016-06-04 19:00,2016,6,4,19:00,19.3,Mainly Clear
2016-06-04 22:00,2016,6,4,22:00,18.1,Mainly Clear
2016-06-05 01:00,2016,6,5,01:00,17.3,Mainly Clear
2016-06-05 04:00,2016,6,5,04:00,16.3,Mainly Clear
2016-06-05 07:00,2016,6,5,07:00,18.9,Mainly Clear
2016-06-05 10:00,2016,6,5,10:00,21.2,Mostly Cloudy
2016-06-05 13:00,2016,6,5,13:00,24.0,Mostly Cloudy
2016-06-05 16:00,2016,6,5,16:00,23.7,Mostly Cloudy
2016-06-05 19:00,2016,6,5,19:00,22.0,Mostly Cloudy
2016-06-05 22:00,2016,6,5,22:00,18.4,Mainly Clear
2016-06-06 01:00,2016,6,6,01:00,17.6,Mainly Clear
2016-06-06 04:00,2016,6,6,04:00,15.1,Mainly Clear
2016-06-06 07:00,2016,6,6,07:00,19.4,Mostly Cloudy
2016-06-06 10:00,2016,6,6,10:00,20.7,Mostly Cloudy
2016-06-06 13:00,2016,6,6,13:00,22.0,Mostly Cloudy
2016-06-06 16:00,2016,6,6,16:00,23.9,Mainly Clear
2016-06-06 19:00,2016,6,6,19:00,19.8,Mostly Cloudy
2016-06-06 22:00,2016,6,6,22:00,16.9,Mainly Clear
2016-06-07 01:00,2016,6,7,01:00,14.9,Mainly Clear
2016-06-07 04:00,2016,6,7,04:00,12.9,Mostly Cloudy
2016-06-07 07:00,2016,6,7,07:00,17.1,Mainly Clear
2016-06-07 10:00,2016,6,7,10:00,19.0,Mainly Clear
2016-06-07 13:00,2016,6,7,13:00,20.1,Mostly Cloudy
2016-06-07 16:00,2016,6,7,16:00,21.7,Cloudy
2016-06-07 19:00,2016,6,7,19:00,20.5,Cloudy
2016-06-07 22:00,2016,6,7,22:00,17.0,Cloudy
2016-06-08 01:00,2016,6,8,01:00,16.3,Cloudy
2016-06-08 04:00,2016,6,8,04:00,14.0,Cloudy
2016-06-08 07:00,2016,6,8,07:00,15.0,Cloudy
2016-06-08 10:00,2016,6,8,10:00,16.1,Cloudy
2016-06-08 12:00,2016,6,8,12:00,17.0,Rain Showers
2016-06-08 13:00,2016,6,8,13:00,16.0,Cloudy
2016-06-08 16:00,2016,6,8,16:00,18.0,Mostly Cloudy
2016-06-08 19:00,2016,6,8,19:00,15.9,Mainly Clear
2016-06-08 22:00,2016,6,8,22:00,12.6,Mainly Clear
2016-06-09 01:00,2016,6,9,01:00,11.1,Mainly Clear
2016-06-09 04:00,2016,6,9,04:00,11.9,Mostly Cloudy
2016-06-09 07:00,2016,6,9,07:00,13.4,Mostly Cloudy
2016-06-09 10:00,2016,6,9,10:00,15.8,Mostly Cloudy
2016-06-09 13:00,2016,6,9,13:00,18.2,Mostly Cloudy
2016-06-09 16:00,2016,6,9,16:00,18.1,Mostly Cloudy
2016-06-09 19:00,2016,6,9,19:00,16.0,Mostly Cloudy
